Raw_tweets,tokenized_cleaned_tweets,tokenized_sentence_tweets,Polarity,Subjectivity,Distance_tweets
@F1 @LewisHamilton Heâ€™s Lucky the queen didnâ€™t change the rules at the very end and knight Max instead ğŸ™ŒğŸ»,"['lucky', 'queen', 'change', 'rules', 'end', 'knight', 'max', 'instead', 'ğŸ™ŒğŸ»']",['  Heâ€™s Lucky the queen didnâ€™t change the rules at the very end and knight Max instead ğŸ™ŒğŸ»'],0.26666666666666666,0.5666666666666667,"['f1', 'lewishamilton', 'lucky', 'queen', 'change', 'rules', 'end', 'knight', 'max', 'instead', 'ğŸ™ŒğŸ»']"
@F1 @aramco Then you robbed him of the championship.,"['robbed', 'championship']",['  Then you robbed him of the championship.'],0.0,0.0,"['f1', 'aramco', 'robbed', 'championship']"
@azjemenou @firstorlastbaby @Flashakis @F1 @LewisHamilton Well they would have then been on the correct tyres because the only way max could have been in front is if Red Bull didnâ€™t put him in hick Mercedesâ€™ would have new tyres and max old tyres â€¦â€¦ whichever way you look at it Mercedes made a tactical error by deciding not to pit,"['well', 'would', 'correct', 'tyres', 'way', 'max', 'could', 'front', 'red', 'bull', 'put', 'hick', 'mercedes', 'would', 'new', 'tyres', 'max', 'old', 'tyres', 'â€¦â€¦', 'whichever', 'way', 'look', 'mercedes', 'made', 'tactical', 'error', 'deciding', 'pit']",['     Well they would have then been on the correct tyres because the only way max could have been in front is if Red Bull didnâ€™t put him in hick Mercedesâ€™ would have new tyres and max old tyres â€¦â€¦ whichever way you look at it Mercedes made a tactical error by deciding not to pit'],0.05909090909090909,0.41363636363636364,"['azjemenou', 'firstorlastbaby', 'flashakis', 'f1', 'lewishamilton', 'well', 'would', 'correct', 'tyres', 'way', 'max', 'could', 'front', 'red', 'bull', 'put', 'hick', 'mercedes', 'would', 'new', 'tyres', 'max', 'old', 'tyres', 'â€¦â€¦', 'whichever', 'way', 'look', 'mercedes', 'made', 'tactical', 'error', 'deciding', 'pit']"
"@RobLMyers @MercedesAMGF1 Now the dust has settled, Iâ€™m going to try and give F1 a â€œwatchâ€ next year but will never forget the farce that unfolded before my very eyes last Sunday. That final lap with reversed and hesitant decisions has soured my involvement with the sport forever","['dust', 'settled', 'going', 'try', 'give', 'f1', 'watch', 'next', 'year', 'never', 'forget', 'farce', 'unfolded', 'eyes', 'last', 'sunday', 'final', 'lap', 'reversed', 'hesitant', 'decisions', 'soured', 'involvement', 'sport', 'forever']","['  Now the dust has settled, Iâ€™m going to try and give F1 a â€œwatchâ€ next year but will never forget the farce that unfolded before my very eyes last Sunday.', 'That final lap with reversed and hesitant decisions has soured my involvement with the sport forever']",-0.08333333333333333,0.3277777777777778,"['roblmyers', 'mercedesamgf1', 'dust', 'settled', 'going', 'try', 'give', 'f1', 'watch', 'next', 'year', 'never', 'forget', 'farce', 'unfolded', 'eyes', 'last', 'sunday', 'final', 'lap', 'reversed', 'hesitant', 'decisions', 'soured', 'involvement', 'sport', 'forever']"
@F1 What about ranking your corruption? Who bribed or blackmailed Masi? Or was it purely incompetence? We are wanting a full admission and public apology to Lewis that you deliberately orchestrated his loss. Max should know he is the recipient of stolen goods.,"['ranking', 'corruption', 'bribed', 'blackmailed', 'masi', 'purely', 'incompetence', 'wanting', 'full', 'admission', 'public', 'apology', 'lewis', 'deliberately', 'orchestrated', 'loss', 'max', 'know', 'recipient', 'stolen', 'goods']","[' What about ranking your corruption?', 'Who bribed or blackmailed Masi?', 'Or was it purely incompetence?', 'We are wanting a full admission and public apology to Lewis that you deliberately orchestrated his loss.', 'Max should know he is the recipient of stolen goods.']",0.1880952380952381,0.37222222222222223,"['f1', 'ranking', 'corruption', 'bribed', 'blackmailed', 'masi', 'purely', 'incompetence', 'wanting', 'full', 'admission', 'public', 'apology', 'lewis', 'deliberately', 'orchestrated', 'loss', 'max', 'know', 'recipient', 'stolen', 'goods']"
"The trophy will be handed to Max and the Fia will analyze how they can hide their crimes better in the future?
I don't accept! Appeal!
@F1 and @fia
#IStandWithLewisHamilton 
#IStandWithLewis
#JusticeForLewis
#F1xed
#F1
#GiveBackTheWin","['trophy', 'handed', 'max', 'fia', 'analyze', 'hide', 'crimes', 'better', 'future', ""n't"", 'accept', 'appeal', 'istandwithlewishamilton', 'istandwithlewis', 'justiceforlewis', 'f1xed', 'f1', 'givebackthewin']","['The trophy will be handed to Max and the Fia will analyze how they can hide their crimes better in the future?', ""I don't accept!"", 'Appeal!', 'and \n#IStandWithLewisHamilton \n#IStandWithLewis\n#JusticeForLewis\n#F1xed\n#F1\n#GiveBackTheWin']",0.25,0.3125,"['trophy', 'handed', 'max', 'fia', 'analyze', 'hide', 'crimes', 'better', 'future', ""n't"", 'accept', 'appeal', 'f1', 'fia', 'istandwithlewishamilton', 'istandwithlewis', 'justiceforlewis', 'f1xed', 'f1', 'givebackthewin']"
@CardPurchaser know of any good F1 Card Accounts / collectors to follow?,"['know', 'good', 'f1', 'card', 'accounts', 'collectors', 'follow']",[' know of any good F1 Card Accounts / collectors to follow?'],0.7,0.6000000000000001,"['cardpurchaser', 'know', 'good', 'f1', 'card', 'accounts', 'collectors', 'follow']"
"@fia I love how people are taking Hamilton's BS words that it was manipulated for truth, what a bunch of idiots. Verstappen passed him on track. true World Champ","['love', 'people', 'taking', 'hamilton', 'bs', 'words', 'manipulated', 'truth', 'bunch', 'idiots', 'verstappen', 'passed', 'track', 'true', 'world', 'champ']","["" I love how people are taking Hamilton's BS words that it was manipulated for truth, what a bunch of idiots."", 'Verstappen passed him on track.', 'true World Champ']",0.016666666666666646,0.6833333333333332,"['fia', 'love', 'people', 'taking', 'hamilton', 'bs', 'words', 'manipulated', 'truth', 'bunch', 'idiots', 'verstappen', 'passed', 'track', 'true', 'world', 'champ']"
@FormulaNerds_ @RacingLines @MercedesAMGF1 I suppose the whole team must have taken a vote and voted against it. Given the situation of obvious corruption within f1 i cannot blame them. If the Liberty group wanted showmanship it looks like they got it via the way they acted. Next season the rules must be clearer,"['suppose', 'whole', 'team', 'must', 'taken', 'vote', 'voted', 'given', 'situation', 'obvious', 'corruption', 'within', 'f1', 'blame', 'liberty', 'group', 'wanted', 'showmanship', 'looks', 'like', 'got', 'via', 'way', 'acted', 'next', 'season', 'rules', 'must', 'clearer']","['   I suppose the whole team must have taken a vote and voted against it.', 'Given the situation of obvious corruption within f1 i cannot blame them.', 'If the Liberty group wanted showmanship it looks like they got it via the way they acted.', 'Next season the rules must be clearer']",0.06666666666666667,0.3,"['formulanerds_', 'racinglines', 'mercedesamgf1', 'suppose', 'whole', 'team', 'must', 'taken', 'vote', 'voted', 'given', 'situation', 'obvious', 'corruption', 'within', 'f1', 'blame', 'liberty', 'group', 'wanted', 'showmanship', 'looks', 'like', 'got', 'via', 'way', 'acted', 'next', 'season', 'rules', 'must', 'clearer']"
@markitogolez23 @thijzabrouwer @AOmodamola @F1 @LewisHamilton I think you need the hug cuz youre the one crying,"['think', 'need', 'hug', 'cuz', 'youre', 'one', 'crying']",['     I think you need the hug cuz youre the one crying'],-0.2,0.6,"['markitogolez23', 'thijzabrouwer', 'aomodamola', 'f1', 'lewishamilton', 'think', 'need', 'hug', 'cuz', 'youre', 'one', 'crying']"
"Congratulations to Sir Lewis Hamilton, but take a look at the state of his boots. They must be the shiniest investiture boots to grace any investiture","['congratulations', 'sir', 'lewis', 'hamilton', 'take', 'look', 'state', 'boots', 'must', 'shiniest', 'investiture', 'boots', 'grace', 'investiture']","['Congratulations to Sir Lewis Hamilton, but take a look at the state of his boots.', 'They must be the shiniest investiture boots to grace any investiture']",0.0,0.0,"['congratulations', 'sir', 'lewis', 'hamilton', 'take', 'look', 'state', 'boots', 'must', 'shiniest', 'investiture', 'boots', 'grace', 'investiture']"
@PET_Motorsports @LewisHamilton @ValtteriBottas @MercedesAMGF1 Your F1 team is disgusting,"['f1', 'team', 'disgusting']",['    Your F1 team is disgusting'],-1.0,1.0,"['pet_motorsports', 'lewishamilton', 'valtteribottas', 'mercedesamgf1', 'f1', 'team', 'disgusting']"
@F1_Jordan @_the44 I like how Mercedes fans are just waking up to this realization,"['like', 'mercedes', 'fans', 'waking', 'realization']",['  I like how Mercedes fans are just waking up to this realization'],0.0,0.0,"['f1_jordan', '_the44', 'like', 'mercedes', 'fans', 'waking', 'realization']"
"@F1 @LewisHamilton Bono, my squires","['bono', 'squires']","['  Bono, my squires']",0.0,0.0,"['f1', 'lewishamilton', 'bono', 'squires']"
@Max33Verstappen @redbullracing @HondaRacingF1 weâ€™re I stand you should look at rosberg did win a hand down title and retire f1.everytime you look in the mirror you will know that a hand down title from Horner and Micheal massi early Christmas gift.coz as a racer going in the last race you were and are a good 2nd best driver!,"['stand', 'look', 'rosberg', 'win', 'hand', 'title', 'retire', 'f1.everytime', 'look', 'mirror', 'know', 'hand', 'title', 'horner', 'micheal', 'massi', 'early', 'christmas', 'gift.coz', 'racer', 'going', 'last', 'race', 'good', '2nd', 'best', 'driver']",['   weâ€™re I stand you should look at rosberg did win a hand down title and retire f1.everytime you look in the mirror you will know that a hand down title from Horner and Micheal massi early Christmas gift.coz as a racer going in the last race you were and are a good 2nd best driver!'],0.2861111111111111,0.28055555555555556,"['max33verstappen', 'redbullracing', 'hondaracingf1', 'stand', 'look', 'rosberg', 'win', 'hand', 'title', 'retire', 'f1.everytime', 'look', 'mirror', 'know', 'hand', 'title', 'horner', 'micheal', 'massi', 'early', 'christmas', 'gift.coz', 'racer', 'going', 'last', 'race', 'good', '2nd', 'best', 'driver']"
@PHortonF1 @F1_Jordan described it perfectly - â€œits like trusting a child to mark their own homework honestlyâ€ - never going to happen,"['described', 'perfectly', 'like', 'trusting', 'child', 'mark', 'homework', 'honestly', 'never', 'going', 'happen']",['  described it perfectly - â€œits like trusting a child to mark their own homework honestlyâ€ - never going to happen'],0.43333333333333335,0.9666666666666667,"['phortonf1', 'f1_jordan', 'described', 'perfectly', 'like', 'trusting', 'child', 'mark', 'homework', 'honestly', 'never', 'going', 'happen']"
"@billyboypeep @RoyalFamily @LewisHamilton @F1 @ClarenceHouse Uncle Jimmy will be looking down on them, now then ğŸ˜µâ€ğŸ’«","['uncle', 'jimmy', 'looking', 'ğŸ˜µ\u200dğŸ’«']","['     Uncle Jimmy will be looking down on them, now then ğŸ˜µ\u200dğŸ’«']",-0.15555555555555559,0.2888888888888889,"['billyboypeep', 'royalfamily', 'lewishamilton', 'f1', 'clarencehouse', 'uncle', 'jimmy', 'looking', 'ğŸ˜µ\u200dğŸ’«']"
"@andrewbensonf1 It is not the discussion that it tarnishing the image of F1, but the appalling decision by Stewards, that too fans, looks like cheating","['discussion', 'tarnishing', 'image', 'f1', 'appalling', 'decision', 'stewards', 'fans', 'looks', 'like', 'cheating']","[' It is not the discussion that it tarnishing the image of F1, but the appalling decision by Stewards, that too fans, looks like cheating']",-0.35,0.9,"['andrewbensonf1', 'discussion', 'tarnishing', 'image', 'f1', 'appalling', 'decision', 'stewards', 'fans', 'looks', 'like', 'cheating']"
@JohnT1974 @F1 @LewisHamilton u ment he only won 8 races this season,"['u', 'ment', '8', 'races', 'season']",['   u ment he only won 8 races this season'],0.0,1.0,"['johnt1974', 'f1', 'lewishamilton', 'u', 'ment', '8', 'races', 'season']"
@ThomasBunink @pirellisport @F1 @fia @MercedesAMGF1 @ScuderiaFerrari @McLarenF1 @GeorgeRussell63 @Charles_Leclerc Truee,['truee'],['         Truee'],0.0,0.0,"['thomasbunink', 'pirellisport', 'f1', 'fia', 'mercedesamgf1', 'scuderiaferrari', 'mclarenf1', 'georgerussell63', 'charles_leclerc', 'truee']"
@F1 Well deserved!,"['well', 'deserved']",[' Well deserved!'],0.0,0.0,"['f1', 'well', 'deserved']"
gonna stream later what do I play? fifa 22 fortnite cs r6 f1?,"['gon', 'na', 'stream', 'later', 'play', 'fifa', '22', 'fortnite', 'cs', 'r6', 'f1']","['gonna stream later what do I play?', 'fifa 22 fortnite cs r6 f1?']",0.0,0.0,"['gon', 'na', 'stream', 'later', 'play', 'fifa', '22', 'fortnite', 'cs', 'r6', 'f1']"
@F1_Jordan @MUnitedGirl @_the44 Arrogance is the camouflage of insecurity.,"['arrogance', 'camouflage', 'insecurity']",['   Arrogance is the camouflage of insecurity.'],0.0,0.0,"['f1_jordan', 'munitedgirl', '_the44', 'arrogance', 'camouflage', 'insecurity']"
@AmandaJMa @alexberesfordTV @LewisHamilton Hilarious! Iâ€™d like to see you try &amp; drive an F1 car without killing yourself ğŸ¤£ğŸ¤£,"['hilarious', 'like', 'see', 'try', '&', 'amp', ';', 'drive', 'f1', 'car', 'without', 'killing', 'ğŸ¤£ğŸ¤£']","['   Hilarious!', 'Iâ€™d like to see you try &amp; drive an F1 car without killing yourself ğŸ¤£ğŸ¤£']",0.625,1.0,"['amandajma', 'alexberesfordtv', 'lewishamilton', 'hilarious', 'like', 'see', 'try', '&', 'amp', ';', 'drive', 'f1', 'car', 'without', 'killing', 'ğŸ¤£ğŸ¤£']"
@F1 @Max33Verstappen Finally.,['finally'],['  Finally.'],0.0,1.0,"['f1', 'max33verstappen', 'finally']"
"@BBCNews It's going to do nothing to change the ğŸ’© show that was the last lap and it's result, Lewis had won the race, until Masi decided otherwise. (I say this as an F1 fan, not a driver fanboy), the ""race"" became null and void, and was decided on a coin toss, history will reflect that.","['going', 'nothing', 'change', 'ğŸ’©', 'show', 'last', 'lap', 'result', 'lewis', 'race', 'masi', 'decided', 'otherwise', '(', 'say', 'f1', 'fan', 'driver', 'fanboy', ')', '``', 'race', ""''"", 'became', 'null', 'void', 'decided', 'coin', 'toss', 'history', 'reflect']","["" It's going to do nothing to change the ğŸ’© show that was the last lap and it's result, Lewis had won the race, until Masi decided otherwise."", '(I say this as an F1 fan, not a driver fanboy), the ""race"" became null and void, and was decided on a coin toss, history will reflect that.']",0.0,0.06666666666666667,"['bbcnews', 'going', 'nothing', 'change', 'ğŸ’©', 'show', 'last', 'lap', 'result', 'lewis', 'race', 'masi', 'decided', 'otherwise', '(', 'say', 'f1', 'fan', 'driver', 'fanboy', ')', '``', 'race', ""''"", 'became', 'null', 'void', 'decided', 'coin', 'toss', 'history', 'reflect']"
"@Rev0n1 @paredeamarela09 @LeeSmurfUK @Neily1973 @Speedtrap_F1 @SkySportsNews When you result to insults there really is nothing left, max did nothing wrong, lewis did nothing wrong and I certainly didnâ€™t mention your English you started that with butthurt English Twitter.","['result', 'insults', 'really', 'nothing', 'left', 'max', 'nothing', 'wrong', 'lewis', 'nothing', 'wrong', 'certainly', 'mention', 'english', 'started', 'butthurt', 'english', 'twitter']","['      When you result to insults there really is nothing left, max did nothing wrong, lewis did nothing wrong and I certainly didnâ€™t mention your English you started that with butthurt English Twitter.']",-0.0836734693877551,0.36734693877551017,"['rev0n1', 'paredeamarela09', 'leesmurfuk', 'neily1973', 'speedtrap_f1', 'skysportsnews', 'result', 'insults', 'really', 'nothing', 'left', 'max', 'nothing', 'wrong', 'lewis', 'nothing', 'wrong', 'certainly', 'mention', 'english', 'started', 'butthurt', 'english', 'twitter']"
"@EricHendrawan3 @JacobtheVega @frontwings @F1_Jordan @fia @F1 Latifiâ€™s dad doesnâ€™t own Williams ğŸ˜‚

Get your drivers straight.","['latifi', 'dad', 'williams', 'ğŸ˜‚', 'get', 'drivers', 'straight']",['      Latifiâ€™s dad doesnâ€™t own Williams ğŸ˜‚\n\nGet your drivers straight.'],0.4,0.7,"['erichendrawan3', 'jacobthevega', 'frontwings', 'f1_jordan', 'fia', 'f1', 'latifi', 'dad', 'williams', 'ğŸ˜‚', 'get', 'drivers', 'straight']"
@matty_prior @supercars Lessons must be learned - typical resolution by the FIA. Both Indycar and supercars are leaps ahead for proper racing and fair on-track stewardship. F1 needs to look how Eduardo Freitas runs the ship brilliantly over at ELMS.,"['lessons', 'must', 'learned', 'typical', 'resolution', 'fia', 'indycar', 'supercars', 'leaps', 'ahead', 'proper', 'racing', 'fair', 'on-track', 'stewardship', 'f1', 'needs', 'look', 'eduardo', 'freitas', 'runs', 'ship', 'brilliantly', 'elms']","['  Lessons must be learned - typical resolution by the FIA.', 'Both Indycar and supercars are leaps ahead for proper racing and fair on-track stewardship.', 'F1 needs to look how Eduardo Freitas runs the ship brilliantly over at ELMS.']",0.35833333333333334,0.625,"['matty_prior', 'supercars', 'lessons', 'must', 'learned', 'typical', 'resolution', 'fia', 'indycar', 'supercars', 'leaps', 'ahead', 'proper', 'racing', 'fair', 'on-track', 'stewardship', 'f1', 'needs', 'look', 'eduardo', 'freitas', 'runs', 'ship', 'brilliantly', 'elms']"
@F1 @LewisHamilton Well done Lad. Put last weekend behind you.,"['well', 'done', 'lad', 'put', 'last', 'weekend', 'behind']","['  Well done Lad.', 'Put last weekend behind you.']",-0.2,0.3833333333333333,"['f1', 'lewishamilton', 'well', 'done', 'lad', 'put', 'last', 'weekend', 'behind']"
"@fia You did this to yourself, taking all the fans and other teams for fools! Enough is enough! Is Masi fired yet? Maybe the fans should stop buying F1 tickets, and stop supporting F1 until you rectify this #IStandWithLewis  #MasiOUT","['taking', 'fans', 'teams', 'fools', 'enough', 'enough', 'masi', 'fired', 'yet', 'maybe', 'fans', 'stop', 'buying', 'f1', 'tickets', 'stop', 'supporting', 'f1', 'rectify', 'istandwithlewis', 'masiout']","[' You did this to yourself, taking all the fans and other teams for fools!', 'Enough is enough!', 'Is Masi fired yet?', 'Maybe the fans should stop buying F1 tickets, and stop supporting F1 until you rectify this #IStandWithLewis  #MasiOUT']",0.0234375,0.40625,"['fia', 'taking', 'fans', 'teams', 'fools', 'enough', 'enough', 'masi', 'fired', 'yet', 'maybe', 'fans', 'stop', 'buying', 'f1', 'tickets', 'stop', 'supporting', 'f1', 'rectify', 'istandwithlewis', 'masiout']"
@Lindama18162148 @LungaMrhetjha So in you moment of wisdom you think you can't love someone or something else if you also love your wife? I can't love Orlando Pirates or Lewis Hamilton because I love my wife? Umdala khehla use your brain,"['moment', 'wisdom', 'think', 'ca', ""n't"", 'love', 'someone', 'something', 'else', 'also', 'love', 'wife', 'ca', ""n't"", 'love', 'orlando', 'pirates', 'lewis', 'hamilton', 'love', 'wife', 'umdala', 'khehla', 'use', 'brain']","[""  So in you moment of wisdom you think you can't love someone or something else if you also love your wife?"", ""I can't love Orlando Pirates or Lewis Hamilton because I love my wife?"", 'Umdala khehla use your brain']",0.5,0.6,"['lindama18162148', 'lungamrhetjha', 'moment', 'wisdom', 'think', 'ca', ""n't"", 'love', 'someone', 'something', 'else', 'also', 'love', 'wife', 'ca', ""n't"", 'love', 'orlando', 'pirates', 'lewis', 'hamilton', 'love', 'wife', 'umdala', 'khehla', 'use', 'brain']"
@heidytweet @Kenny_McCann1 @cereegolas @F1 @Max33Verstappen The stewards ğŸ˜‚ğŸ˜‚ğŸ˜‚ and who do they work for? This has nothing to do with how Mercedes feel - this is about the ongoing integrity of the sport â€¦ which is void of any at present. How can I put it into words that youâ€™ll understand? F1 is finished as a sport if this isnâ€™t sorted.,"['stewards', 'ğŸ˜‚ğŸ˜‚ğŸ˜‚', 'work', 'nothing', 'mercedes', 'feel', 'ongoing', 'integrity', 'sport', 'â€¦', 'void', 'present', 'put', 'words', 'understand', 'f1', 'finished', 'sport', 'sorted']","['     The stewards ğŸ˜‚ğŸ˜‚ğŸ˜‚ and who do they work for?', 'This has nothing to do with how Mercedes feel - this is about the ongoing integrity of the sport â€¦ which is void of any at present.', 'How can I put it into words that youâ€™ll understand?', 'F1 is finished as a sport if this isnâ€™t sorted.']",0.0,0.0,"['heidytweet', 'kenny_mccann1', 'cereegolas', 'f1', 'max33verstappen', 'stewards', 'ğŸ˜‚ğŸ˜‚ğŸ˜‚', 'work', 'nothing', 'mercedes', 'feel', 'ongoing', 'integrity', 'sport', 'â€¦', 'void', 'present', 'put', 'words', 'understand', 'f1', 'finished', 'sport', 'sorted']"
"@MercedesAMGF1 You have to appeal, there is nothing wrong with this. If you withdraw that would be another shame for @F1 . @fia  made the mistake and has to pay for it. Not you and @LewisHamilton #IstandWithLewisHamilton #MasiOUT","['appeal', 'nothing', 'wrong', 'withdraw', 'would', 'another', 'shame', 'made', 'mistake', 'pay', 'istandwithlewishamilton', 'masiout']","[' You have to appeal, there is nothing wrong with this.', 'If you withdraw that would be another shame for  .', 'made the mistake and has to pay for it.', 'Not you and  #IstandWithLewisHamilton #MasiOUT']",-0.5,0.9,"['mercedesamgf1', 'appeal', 'nothing', 'wrong', 'withdraw', 'would', 'another', 'shame', 'f1', 'fia', 'made', 'mistake', 'pay', 'lewishamilton', 'istandwithlewishamilton', 'masiout']"
"@WoolfHopkinson @F1 I understand your point and I agree with it but why is this #""IStandWithLewisHamilton""?
Max did nothing wrong, it was the FIA's fault, that benefitted Max. We are not against Max or Lewis right now. Can't be there a better #? Like #IStandWithTheIntegrityOfF1?","['understand', 'point', 'agree', ""''"", 'istandwithlewishamilton', ""''"", 'max', 'nothing', 'wrong', 'fia', 'fault', 'benefitted', 'max', 'max', 'lewis', 'right', 'ca', ""n't"", 'better', 'like', 'istandwiththeintegrityoff1']","['  I understand your point and I agree with it but why is this #""IStandWithLewisHamilton""?', ""Max did nothing wrong, it was the FIA's fault, that benefitted Max."", 'We are not against Max or Lewis right now.', ""Can't be there a better #?"", 'Like #IStandWithTheIntegrityOfF1?']",0.09523809523809523,0.6452380952380953,"['woolfhopkinson', 'f1', 'understand', 'point', 'agree', ""''"", 'istandwithlewishamilton', ""''"", 'max', 'nothing', 'wrong', 'fia', 'fault', 'benefitted', 'max', 'max', 'lewis', 'right', 'ca', ""n't"", 'better', 'like', 'istandwiththeintegrityoff1']"
"@Matt_Lecointe @WendyHough16 @jenros2 @F1 @fia @MercedesAMGF1 @LewisHamilton Your right  Matt,","['right', 'matt']","['       Your right  Matt,']",0.2857142857142857,0.5357142857142857,"['matt_lecointe', 'wendyhough16', 'jenros2', 'f1', 'fia', 'mercedesamgf1', 'lewishamilton', 'right', 'matt']"
@SkySportsNews He's been knighted again? So he's Sir Sir Lewis Hamilton?ğŸ¤”ğŸ™ƒ,"['knighted', 'sir', 'sir', 'lewis', 'hamilton', 'ğŸ¤”ğŸ™ƒ']","["" He's been knighted again?"", ""So he's Sir Sir Lewis Hamilton?ğŸ¤”ğŸ™ƒ""]",0.0,0.0,"['skysportsnews', 'knighted', 'sir', 'sir', 'lewis', 'hamilton', 'ğŸ¤”ğŸ™ƒ']"
"@F1TruthTweets @ffalon123 @UTDAustin @RyanPri05319179 @_DerBeichtvader @CFCTom_ @GoodGuySedge And he needed a tyre blowout, him sending verstappen into hospital, and botass playing bowling to even be in contention. Speaks volumes","['needed', 'tyre', 'blowout', 'sending', 'verstappen', 'hospital', 'botass', 'playing', 'bowling', 'even', 'contention', 'speaks', 'volumes']","['       And he needed a tyre blowout, him sending verstappen into hospital, and botass playing bowling to even be in contention.', 'Speaks volumes']",0.0,0.0,"['f1truthtweets', 'ffalon123', 'utdaustin', 'ryanpri05319179', '_derbeichtvader', 'cfctom_', 'goodguysedge', 'needed', 'tyre', 'blowout', 'sending', 'verstappen', 'hospital', 'botass', 'playing', 'bowling', 'even', 'contention', 'speaks', 'volumes']"
"@SilverArrowsNet No1 gives a shit about F1's reputation now! It's already been ruined and dragged through the dirt by Masi and his FIA corruption. What needs to happen now, all comes down to getting the truth and why the FIA were bothered about fixing the race result for a media spectical.","['no1', 'gives', 'shit', 'f1', 'reputation', 'already', 'ruined', 'dragged', 'dirt', 'masi', 'fia', 'corruption', 'needs', 'happen', 'comes', 'getting', 'truth', 'fia', 'bothered', 'fixing', 'race', 'result', 'media', 'spectical']","["" No1 gives a shit about F1's reputation now!"", ""It's already been ruined and dragged through the dirt by Masi and his FIA corruption."", 'What needs to happen now, all comes down to getting the truth and why the FIA were bothered about fixing the race result for a media spectical.']",-0.20277777777777778,0.5444444444444445,"['silverarrowsnet', 'no1', 'gives', 'shit', 'f1', 'reputation', 'already', 'ruined', 'dragged', 'dirt', 'masi', 'fia', 'corruption', 'needs', 'happen', 'comes', 'getting', 'truth', 'fia', 'bothered', 'fixing', 'race', 'result', 'media', 'spectical']"
